Property ID,Price,City
1,300000,CityA
2,300500,CityA
3,301000,CityA
4,301500,CityA
5,302000,CityA
6,302500,CityA
7,303000,CityA
8,303500,CityA
9,304000,CityA
10,304500,CityA
11,305000,CityA
12,305500,CityA
13,306000,CityA
14,306500,CityA
15,307000,CityA
16,307500,CityA
17,308000,CityA
18,308500,CityA
19,309000,CityA
20,309500,CityA
21,310000,CityA
22,310500,CityA
23,311000,CityA
24,311500,CityA
25,312000,CityA
26,312500,CityA
27,313000,CityA
28,313500,CityA
29,314000,CityA
30,314500,CityA
31,315000,CityA
32,315500,CityA
33,316000,CityA
34,316500,CityA
35,317000,CityA
36,317500,CityA
37,318000,CityA
38,318500,CityA
39,319000,CityA
40,319500,CityA
41,320000,CityA
42,320500,CityA
43,321000,CityA
44,321500,CityA
45,322000,CityA
46,322500,CityA
47,323000,CityA
48,323500,CityA
49,324000,CityA
50,324500,CityA
51,325000,CityA
52,325500,CityA
53,326000,CityA
54,326500,CityA
55,327000,CityA
56,327500,CityA
57,328000,CityA
58,328500,CityA
59,329000,CityA
60,329500,CityA
61,330000,CityA
62,330500,CityA
63,331000,CityA
64,331500,CityA
65,332000,CityA
66,332500,CityA
67,333000,CityA
68,333500,CityA
69,334000,CityA
70,334500,CityA
71,335000,CityA
72,335500,CityA
73,336000,CityA
74,336500,CityA
75,337000,CityA
76,337500,CityA
77,338000,CityA
78,338500,CityA
79,339000,CityA
80,339500,CityA
81,340000,CityA
82,340500,CityA
83,341000,CityA
84,341500,CityA
85,342000,CityA
86,342500,CityA
87,343000,CityA
88,343500,CityA
89,344000,CityA
90,344500,CityA
91,345000,CityA
92,345500,CityA
93,346000,CityA
94,346500,CityA
95,347000,CityA
96,347500,CityA
97,348000,CityA
98,348500,CityA
99,349000,CityA
100,349500,CityA
101,350000,CityA
102,350500,CityA
103,351000,CityA
104,351500,CityA
105,352000,CityA
106,352500,CityA
107,353000,CityA
108,353500,CityA
109,354000,CityA
110,354500,CityA
111,355000,CityA
112,355500,CityA
113,356000,CityA
114,356500,CityA
115,357000,CityA
116,357500,CityA
117,358000,CityA
118,358500,CityA
119,359000,CityA
120,359500,CityA
121,360000,CityA
122,360500,CityA
123,361000,CityA
124,361500,CityA
125,362000,CityA
126,362500,CityA
127,363000,CityA
128,363500,CityA
129,364000,CityA
130,364500,CityA
131,365000,CityA
132,365500,CityA
133,366000,CityA
134,366500,CityA
